网站名,品类,商家名称,地址,评分,人均消费
美团,美食,泰蒲·泰国料理（五四店）,鼓楼区信和广场1楼,4,102
美团,美食,雍和会海鲜姿造自助（湖东店）,鼓楼区湖东路171号中旅大厦二楼（五四路）,4.7,383
美团,美食,雍和会海鲜姿造（三坊七巷店）,鼓楼区光禄坊37号（近刘家大院）,5,109
美团,美食,令狐冲·窑烤活鱼（长冠城明星店）,鼓楼区北二环西路78号长冠城78号长冠城公交车站,4.6,62
美团,美食,潮福城大酒楼（阳光城店）,鼓楼区福新西路28号阳光城三期2楼（近东水路建设银行旁）,4.4,78
美团,美食,刘福记北京烤鸭（西洪店）,鼓楼区西洪路108号（农业银行取款机旁、西门永辉超市斜对面）,4.5,32
美团,美食,泰蒲·泰国料理（东街店）,鼓楼区东街街道井大路22号庆城市场2楼（井大路与庆城路交叉口，依土捞化旁）,5,68
美团,美食,咕叽咕鸡·手撕蒸鸡（梅峰店）,鼓楼区梅峰路山海观小区C-9店面,4.7,36
美团,美食,元兆寿司（鼓楼店）,鼓楼区观凤亭街50-1号,4.6,47
美团,美食,古千川艺串串香（达明美食街店）,鼓楼区双抛桥一里4-6号（六意便利旁）,4,55
美团,美食,夏宫餐厅（香格里拉大酒店）,鼓楼区新权南路9号香格里拉大酒店二层 ,3.8,159
美团,美食,美德园中西自助餐厅,鼓楼区八一七中路103号顺丰楼4层（福州大饭店西侧）,4.2,22
美团,美食,珍宝海鲜,鼓楼区八一七北路东百商业中心C-1馆3层,4.3,213
美团,美食,九和居邮电公寓海鲜酒楼,鼓楼区五一北路沙帽井3号1楼（省邮电公寓院内）,4,118
美团,美食,海联潮港城,鼓楼区东门塔头路1号海联亚朵酒店2-3楼,4.4,56
美团,美食,小莆天,鼓楼区元帅路101号,3.8,68
美团,美食,华丰贺氏（北大店）,鼓楼区北大路169号御西湖13-14号店（西湖福三中对面）,4.1,15
美团,美食,舒馨小厨,鼓楼区五四路226号（舒馨时代酒店一楼）,5,79
美团,美食,麦大叔·福建客家菜（融侨锦江店）,鼓楼区凤湖路158号融侨锦江建设银行右侧二楼,4.2,52
美团,美食,小鱼小牛（王府井店）,鼓楼区五四路128号王府井百货7楼,4.4,81
美团,美食,江南韩国炭火烤肉（省府店）,鼓楼区省府路92号（永辉超市二楼）,4.9,70
美团,美食,南乡·广东顺德菜（柏联店）,鼓楼区古田路177号（柏联时代广场1#楼）,4.5,124
美团,美食,海通1号（梅峰店）,鼓楼区西环北路60号融侨花园三区1#13#14#连接体（光大银行旁）,5,171
美团,美食,佳丽花园,鼓楼区南街街道营房里6号1-3层（澳门路石丐茶铺旁进停车场100米）,4.6,69
美团,美食,红运火锅（省体店）,鼓楼区北环中路30号（金汤新天地停车场内）,3.6,126
美团,美食,潮福城大酒楼（阳光城店）,鼓楼区福新西路28号阳光城三期2楼（近东水路建设银行旁）,4.4,78
美团,美食,渔傅·蓝海岸霞浦海鲜（正祥店）,鼓楼区五一北路正祥中心4座2层（中国珠宝右侧观光电梯上）,4.4,118
美团,美食,左公宴,鼓楼区安民巷62号（安民巷与八一七路交汇巷口处）,3.9,144
美团,美食,咕叽咕鸡·手撕蒸鸡（六一店）,鼓楼区古田路132-5号福达商厦一层（呼啦啦KTV旁）,4.4,37
美团,美食,百加百炭火烤肉专门店,鼓楼区鼓楼东街口卫前街113-115号贤南商厦一楼,4.5,81
美团,美食,鲍匠·鲍鱼火锅（恒力博纳广场店）,鼓楼区北环中路18号恒力博纳广场一楼112A,3.9,158
美团,美食,咕叽咕鸡·手撕蒸鸡（梅峰店）,鼓楼区梅峰路山海观小区C-9店面,4.7,36
美团,美食,韩阁炭火烤肉,鼓楼区元帅路68-1号（三坊七巷斜对面）,4.1,75
美团,美食,左公宴,鼓楼区安民巷62号（安民巷与八一七路交汇巷口处）,3.9,144
美团,美食,令狐冲·窑烤活鱼（温泉店）,鼓楼区温泉支路醒春居17号（久号自助快餐东边）,3.9,55
美团,美食,勺园印象江南,鼓楼区白马北路勺园里1号7座1层105号,4.4,69
美团,美食,三生石·李家菜,鼓楼区西二环北路236号华侨新村右拐第一栋（近添怡酒店）,4.1,148
美团,美食,海天盛宴海鲜自助（正大广场店）,鼓楼区五一中路正大广场4楼,4.5,397
美团,美食,食鼎记·私房菜（三坊七巷店）,鼓楼区吉庇路61号二、三层,4,66
美团,美食,福宁老家·霞浦海鲜（梅峰店）,鼓楼区梅峰路7号二楼,3.7,51
美团,美食,四季·映山红,鼓楼区吉庇路80号,4.2,106
美团,美食,东方红·老坛剁椒鱼头（长冠旗舰店）,鼓楼区北二环西路78号（长冠大酒店2楼）,4,81
美团,美食,星洲小馆·新加坡料理,鼓楼区贤南路12号贤南商厦13号（地铁东街口A出口北行50米）,4.3,70
美团,美食,令狐冲·窑烤活鱼（达明路店）,鼓楼区达明路与鼓西路交叉口达明路12号（老福州对面）,3.9,54
美团,美食,壹合先生的食堂（五四店）,鼓楼区五四路宏运帝豪大厦一层（肯德基拐角处）,5,44
美团,美食,东方红·老坛剁椒鱼头（长冠旗舰店）,鼓楼区北二环西路78号（长冠大酒店2楼）,4,81
美团,美食,文儒闽菜馆,鼓楼区通湖路文儒坊56号,4.1,224
美团,美食,源益养生宝典,鼓楼区湖东路288号水调歌头4号楼,4.4,80
美团,美食,mua美式手工现做汉堡（三坊七巷塔巷店）,鼓楼区塔巷24号11段407A地号,5,66
美团,美食,方燕烤猪蹄（软件园店）,鼓楼区软件大道53-12号,4,14
美团,美食,山水大酒店·西餐厅,鼓楼区省府路13号山水大酒店一楼,4.4,150
美团,美食,巷陌功夫湘菜,鼓楼区鼓楼区贤南路26号2层北向,3.3,63
美团,美食,味名坊,鼓楼区北大路物价局外九彩巷50号,4.4,64
美团,美食,无我轩,鼓楼区西二环北路华侨新村55号（近海峡美容医院）,4.2,101
美团,美食,一幸料亭和食,鼓楼区三坊七巷营房里16号,3.3,198
美团,美食,潮汕牛肉火锅（白龙路店）,鼓楼区白龙路6号1-2层(白龙宾馆斜对面),3.7,50
美团,美食,福州大饭店-西餐厅,鼓楼区斗东路1号（近八一七中路口）,3.6,147
美团,美食,Amore e Cibo's Dining 粹到意大利餐厅,鼓楼区通湖路光禄坊25号,3.4,147
美团,美食,川居酒屋,鼓楼区湖东路水调歌头一层（省图书馆对面）,3.8,125
美团,美食,糖斯蛋糕（恒宇国际店）,鼓楼区东城边街39号A座413单元,3.8,33
美团,美食,蛙特what！·重庆美蛙鱼头火锅（万科店）,台江区白马路78号万科广场2楼85°C楼上,4.5,79
美团,美食,N多寿司（宝龙城市广场店）,台江区工业路193号宝龙城市广场1层,5,11
美团,美食,蒙自源（金融街万达广场店）,台江区金融街万达广场内购物中心室内步行街三层3010A商铺,4.9,27
美团,美食,鲤升源·成都印象,台江区江滨中大道126-4号（元洪城背后江滨公园内）,3.8,65
美团,美食,尊宝比萨（苏宁广场店）,台江区工业路233号苏宁广场B1层,4.8,40
美团,美食,玛格利塔（广达店）,台江区广达路335号1层（消防总队正对面）,4.8,19
美团,美食,千岛湖蒸汽鱼（台江万达店）,台江区金街鳌峰路8号-万达室外步行街（金街）2层158号（威斯汀酒店附近）,4.8,68
美团,美食,汉堡王（福州大利嘉城店）,台江区五一中路大利嘉城B馆一楼,4.8,41
美团,美食,二回熟台湾馔锅（万象城店）,台江区工业路8号（万象城4层）,5,61
美团,美食,热血兄弟（融侨中心店）,台江区江滨西大道融侨中心3楼,3.8,153
美团,美食,松鹤精致料理,台江区五一中路83号（状元境公交站旁）,5,204
美团,美食,小鱼小牛时尚欢乐餐厅（元洪城店）,台江区台江路95号元洪商场第四层4F-T03商铺,4.7,82
美团,美食,ESK Restaurant&Cafe宜斯厨房（万象九宜城店）,台江区工业路万象城1楼122铺（瑞幸咖啡对面）,5,100
美团,美食,华莱士（中亭街二店）,台江区中亭街G区1F04店面,4.6,15
美团,美食,BASK IN CAKE巴思客,台江区茶亭街道交通路1号侨发小区1层6#楼03店面,5,124
美团,美食,粤妃·品味广州菜,台江区江滨西大道100号融侨中心ART MALL 4楼,4.5,175
美团,美食,大丰收脆鱼（元洪店）,台江区台江路东百元洪商场4楼,5,80
美团,美食,57℃湘（苏宁广场店）,台江区工业路233号苏宁广场4层,5,84
美团,美食,老福洲徐记（广达店）,台江区广达路76-5号（金广达大饭店对面）,3.8,69
美团,美食,逆时光咖啡馆（青年会店）,台江区台江区苍霞路13号青年会广场1楼南侧～逆时光咖啡馆（中亭街，台江元洪）,4.6,49
